STYLE-SIZE,CYLINDER TYPE,MACHINE TYPE,NEEDLE QTY,AREA,Capacity (Pairs per day per machine),,MCT1 : SS (G21 TY M),MCT2 : SS (G21 TY L),MCT3 : SS (G21 TY L2-JUMBO),MCT4 : SS (G21 M),MCT5 : SS (G21 L),MCT 6 : SS (G21 L2 JUMBO),MCT7 : SS (G21 TY L3),MCT8 : SS (G21 TY L4),MCT9: BMAC (G21 S/124),MCT10: BMAC (G21 M/134),MCT11 : RAV (G21 L/133),MCT12 : RAV (G21 L2 JUMBO),,Jan Demand (pairs),Feb Demand (pairs),Mar Demand (pairs),Apr Demand (pairs),May Demand (pairs),Jun Demand (pairs),Jul Demand (pairs),Aug Demand (pairs),Sep Demand (pairs),Oct Demand (pairs),Nov Demand (pairs),Dec Demand (pairs)
S21TX-MX-6,M,SS (G21 TY M),122,KNITTING,120,,120,,,,,,,,120,,,,,0,0,0,0,0,0,0,0,0,0,0,0
S21TX-MX-7,M,SS (G21 TY M),122,KNITTING,110,,110,,,,,,,,110,,,,,0,0,0,0,0,0,720,720,480,0,0,0
S21TX-MX-8,M,SS (G21 TY M),122,KNITTING,110,,110,,,,,,,,110,,,,,0,0,0,0,0,0,720,480,0,0,0,0
S21TX-MX-9,L,SS (G21 TY L),132,KNITTING,96,,,96,,,,,,,,96,96,,,0,0,0,0,0,0,720,480,240,0,0,0
SL21TX18TE-2XL,L4,SS (G21 TY L4),162,KNITTING,55,,,,,,,,,55,,,,,,0,0,0,0,0,0,300,420,600,0,0,0
SL21TX18TE-XL,L3,SS (G21 TY L3),152,KNITTING,57,,,,,,,,57,,,,,,,0,0,0,0,0,0,540,600,1440,0,0,0
SL21TX18TE-L,L2,SS (G21 TY L2-JUMBO),142,KNITTING,57,,,,57,,,,,,,,,,,0,0,0,0,0,0,240,1200,420,0,0,0
SL21TX18TE-M,L,SS (G21 TY L),132,KNITTING,60,,,60,,,,,,,,,,,,0,0,0,0,0,0,120,420,360,0,0,0
SL21TX18TE-S,M,SS (G21 TY M),122,KNITTING,60,,60,,,,,,,,,,,,,0,0,0,0,0,0,0,240,300,0,0,0
SL21TX18TE-XS,M,SS (G21 TY M),122,KNITTING,60,,60,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
LSL21TX18TE-2XL,L4,SS (G21 TY L4),162,KNITTING,55,,,,,,,,,55,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
LSL21TX18TE-XL,L3,SS (G21 TY L3),152,KNITTING,57,,,,,,,,57,,,,,,,0,0,0,0,0,0,0,120,0,0,0,0
LSL21TX18TE-L,L2,SS (G21 TY L2-JUMBO),142,KNITTING,57,,,,57,,,,,,,,,,,0,0,0,0,0,0,0,180,0,0,0,0
LSL21TX18TE-M,L,SS (G21 TY L),132,KNITTING,60,,,60,,,,,,,,,,,,0,0,0,0,0,0,0,180,0,0,0,0
LSL21TX18TE-S,M,SS (G21 TY M),122,KNITTING,60,,60,,,,,,,,,,,,,0,0,0,0,0,0,0,60,0,0,0,0
LSL21TX18TE-XS,M,SS (G21 TY M),122,KNITTING,60,,60,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SL21TX18TLE-2XL,L4,SS (G21 TY L4),162,KNITTING,60,,,,,,,,,60,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SL21TX18TLE-XL,L3,SS (G21 TY L3),152,KNITTING,60,,,,,,,,60,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SL21TX18TLE-L,L2,SS (G21 TY L2-JUMBO),142,KNITTING,60,,,,60,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SL21TX18TLE-M,L,SS (G21 TY L),132,KNITTING,70,,,70,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SL21TX18TLE-S,M,SS (G21 TY M),122,KNITTING,70,,70,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SL21TX18TLE-XS,M,SS (G21 TY M),122,KNITTING,70,,70,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SL21TX18TH-2XL,L4,SS (G21 TY L4),162,KNITTING,60,,,,,,,,,60,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SL21TX18TH-XL,L3,SS (G21 TY L3),152,KNITTING,60,,,,,,,,60,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SL21TX18TH-L,L2,SS (G21 TY L2-JUMBO),142,KNITTING,60,,,,60,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SL21TX18TH-M,L,SS (G21 TY L),132,KNITTING,60,,,60,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SL21TX18TH-S,M,SS (G21 TY M),122,KNITTING,60,,60,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SL21TX18TH-XS,M,SS (G21 TY M),122,KNITTING,60,,60,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
PSL21TX18TE-2XL,L4,SS (G21 TY L4),162,KNITTING,55,,,,,,,,,55,,,,,,0,0,0,0,0,0,60,0,0,0,0,0
PSL21TX18TE-XL,L3,SS (G21 TY L3),152,KNITTING,57,,,,,,,,57,,,,,,,0,0,0,0,0,0,60,0,0,0,0,0
PSL21TX18TE-L,L2,SS (G21 TY L2-JUMBO),142,KNITTING,57,,,,57,,,,,,,,,,,0,0,0,0,0,0,60,0,0,0,0,0
PSL21TX18TE-M,L,SS (G21 TY L),132,KNITTING,60,,,60,,,,,,,,,,,,0,0,0,0,0,0,60,0,0,0,0,0
PSL21TX18TE-S,M,SS (G21 TY M),122,KNITTING,60,,60,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
PSL21TX18TE-XS,M,SS (G21 TY M),122,KNITTING,60,,60,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
